类型,大类,等级,期刊简称,期刊全称,出版社,网址
会议,计算机科学理论,C,FSCD(原 RTA),International Conference on Formal Structures for Computation and Deduction,Dagstuhl Leibniz LIPIcs,http://dblp.uni-trier.de/db/journals/logcom/
会议,计算机科学理论,C,ISAAC,International Symposium on Algorithms and Computation,Springer,http://dblp.uni-trier.de/db/journals/jsyml/
会议,计算机科学理论,C,MFCS,International Conference on Mathematical Foundations of Computer Science,Springer,http://dblp.uni-trier.de/db/journals/lmcs/
会议,计算机科学理论,C,STACS,Symposium on Theoretical Aspects of Computer Science,Springer,http://dblp.uni-trier.de/db/journals/siamdm/
会议,计算机科学理论,C,SETTA,"International Symposium on Software Engineering: Theories, Tools, and Applications",Springer,https://dblp.uni-trier.de/db/conf/setta/index.html
期刊,计算机图形学与多媒体,A,TOG,ACM Transactions on Graphics,ACM,http://dblp.uni-trier.de/db/journals/tog/
期刊,计算机图形学与多媒体,A,TIP,IEEE Transactions on Image Processing,IEEE,http://dblp.uni-trier.de/db/journals/tip/
期刊,计算机图形学与多媒体,A,TVCG,IEEE Transactions on Visualization and Computer Graphics,IEEE,http://dblp.uni-trier.de/db/journals/tvcg/
期刊,计算机图形学与多媒体,A,TMM,IEEE Transactions on Multimedia,IEEE,http://dblp.uni-trier.de/db/journals/tmm/
期刊,计算机图形学与多媒体,B,TOMM,"ACM Transactions on Multimedia Computing, Communications and Applications",ACM,http://dblp.uni-trier.de/db/journals/tomccap/
期刊,计算机图形学与多媒体,B,CAGD,Computer Aided Geometric Design,Elsevier,http://dblp.uni-trier.de/db/journals/cagd/
期刊,计算机图形学与多媒体,B,CGF,Computer Graphics Forum,Wiley,http://dblp.uni-trier.de/db/journals/cgf/
期刊,计算机图形学与多媒体,B,CAD,Computer-Aided Design,Elsevier,http://dblp.uni-trier.de/db/journals/cad/
期刊,计算机图形学与多媒体,B,TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,IEEE,http://dblp.uni-trier.de/db/journals/tcsv/
期刊,计算机图形学与多媒体,B,JASA,The Journal of the Acoustical Society of America,AIP,http://scitation.aip.org/content/asa/journal/jasa
期刊,计算机图形学与多媒体,B,SIIMS,SIAM Journal on Imaging Sciences,SIAM,http://dblp.uni-trier.de/db/journals/siamis/
期刊,计算机图形学与多媒体,B,SPECOM,Speech Communication,Elsevier,http://dblp.uni-trier.de/db/journals/speech/
期刊,计算机图形学与多媒体,B,CVMJ,Computational Visual Media,Tsinghua University/Springer,https://dblp.org/db/journals/cvm/index.html
期刊,计算机图形学与多媒体,C,CGTA,Computational Geometry: Theory and Applications,Elsevier,http://dblp.uni-trier.de/db/journals/comgeo/
期刊,计算机图形学与多媒体,C,CAVW,Computer animation & virtual worlds,Wiley,https://dblp.org/db/journals/jvca/index.html
期刊,计算机图形学与多媒体,C,C&G,Computers & Graphics,Elsevier,http://dblp.uni-trier.de/db/journals/cg/
期刊,计算机图形学与多媒体,C,DCG,Discrete & Computational Geometry,Springer,http://dblp.uni-trier.de/db/journals/dcg/
期刊,计算机图形学与多媒体,C,SPL,IEEE Signal Processing Letters,IEEE,http://dblp.uni-trier.de/db/journals/spl/
期刊,计算机图形学与多媒体,C,IET-IPR,IET Image Processing,IET,http://dblp.uni-trier.de/db/journals/iet-ipr/
期刊,计算机图形学与多媒体,C,JVCIR,Journal of Visual Communication and Image Representation,Elsevier,http://dblp.uni-trier.de/db/journals/jvcir/
期刊,计算机图形学与多媒体,C,MS,Multimedia Systems,Springer,http://dblp.uni-trier.de/db/journals/mms/
期刊,计算机图形学与多媒体,C,MTA,Multimedia Tools and Applications,Springer,http://dblp.uni-trier.de/db/journals/mta/
期刊,计算机图形学与多媒体,C,SIGPRO,Signal Processing,Elsevier,http://dblp.uni-trier.de/db/journals/sigpro/
期刊,计算机图形学与多媒体,C,IMAGE,Signal Processing: Image Communication,Elsevier,http://dblp.uni-trier.de/db/journals/spic/
期刊,计算机图形学与多媒体,C,TVC,The Visual Computer,Springer,http://dblp.uni-trier.de/db/journals/vc/
期刊,计算机图形学与多媒体,C,VI,Visual Informatics,浙江大学出版社,https://dblp.uni-trier.de/db/journals/vi/index.html
期刊,计算机图形学与多媒体,C,VRIH,Virtual Reality & Intelligent Hardware,中国科技出版社/北京航空航天大学,https://dblp.uni-trier.de/db/journals/vrih/index.html
期刊,计算机图形学与多媒体,C,GMOD,Graphical Models,Elsevier,http://dblp.uni-trier.de/db/journals/cvgip/
会议,计算机图形学与多媒体,A,ACM MM,ACM International Conference on Multimedia,ACM,http://dblp.uni-trier.de/db/conf/mm/
会议,计算机图形学与多媒体,A,SIGGRAPH,ACM Special Interest Group on Computer Graphics,ACM,http://dblp.uni-trier.de/db/conf/siggraph/index.html
会议,计算机图形学与多媒体,A,VR,IEEE Virtual Reality,IEEE,http://dblp.uni-trier.de/db/conf/vr/
会议,计算机图形学与多媒体,A,IEEE VIS,IEEE Visualization Conference,IEEE,http://dblp.uni-trier.de/db/conf/visualization/index.html
会议,计算机图形学与多媒体,B,ICMR,ACM SIGMM International Conference on Multimedia Retrieval,ACM,http://dblp.uni-trier.de/db/conf/mir/
会议,计算机图形学与多媒体,B,I3D,ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,ACM,http://dblp.uni-trier.de/db/conf/si3d/
会议,计算机图形学与多媒体,B,SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,ACM,http://dblp.uni-trier.de/db/conf/sca/index.html
会议,计算机图形学与多媒体,B,DCC,Data Compression Conference,IEEE,http://dblp.uni-trier.de/db/conf/dcc/
会议,计算机图形学与多媒体,B,Eurographics,Annual Conference of the European Association for Computer Graphics,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/eurographics/
会议,计算机图形学与多媒体,B,EuroVis,Eurographics Conference on Visualization,ACM,http://dblp.uni-trier.de/db/conf/vissym/
会议,计算机图形学与多媒体,B,SGP,Eurographics Symposium on Geometry Processing,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/sgp/
会议,计算机图形学与多媒体,B,EGSR,Eurographics Symposium on Rendering,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/rt/
会议,计算机图形学与多媒体,B,ICASSP,"IEEE International Conference on Acoustics, Speech and Signal Processing",IEEE,http://dblp.uni-trier.de/db/conf/icassp/
会议,计算机图形学与多媒体,B,ICME,IEEE International Conference on Multimedia & Expo,IEEE,http://dblp.uni-trier.de/db/conf/icmcs/
会议,计算机图形学与多媒体,B,ISMAR,International Symposium on Mixed and Augmented Reality,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ismar/
会议,计算机图形学与多媒体,B,PG,Pacific Conference onComputer Graphics and Applications,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/pg/index.html
会议,计算机图形学与多媒体,B,SPM,Symposium on Solid and Physical Modeling,SMA/Elsevier,http://dblp.uni-trier.de/db/conf/sma/
会议,计算机图形学与多媒体,B,INTER-SPEECH,Conference of the International Speech Communication Association,ISCA,http://dblp.uni-trier.de/db/conf/interspeech/index.html
会议,计算机图形学与多媒体,C,VRST,ACM Symposium on Virtual Reality Software and Technology,ACM,http://dblp2.uni-trier.de/db/conf/vrst/
会议,计算机图形学与多媒体,C,CASA,International Conference on Computer Animation and Social Agents,Wiley,http://dblp.uni-trier.de/db/conf/ca/
会议,计算机图形学与多媒体,C,CGI,Computer Graphics International,Springer,http://dblp.uni-trier.de/db/conf/cgi/
会议,计算机图形学与多媒体,C,GMP,Geometric Modeling and Processing,Elsevier,http://dblp.uni-trier.de/db/conf/gmp/
会议,计算机图形学与多媒体,C,PacificVis,IEEE Pacific Visualization Symposium,IEEE,http://dblp.uni-trier.de/db/conf/apvis/
会议,计算机图形学与多媒体,C,3DV,International Conference on 3D Vision,IEEE,https://dblp.uni-trier.de/db/conf/3dim/
会议,计算机图形学与多媒体,C,CAD/Graphics,International Conference on Computer-Aided Design and Computer Graphics Processing,IEEE,https://dblp.uni-trier.de/db/conf/cadgraphics/
会议,计算机图形学与多媒体,C,ICIP,IEEE International Conference on Image Processing,IEEE,http://dblp.uni-trier.de/db/conf/icip/
会议,计算机图形学与多媒体,C,MMM,International Conference on Multimedia Modeling,Springer,http://dblp.uni-trier.de/db/conf/mmm/index.html
会议,计算机图形学与多媒体,C,MMAsia,ACM Multimedia Asia,ACM,https://dblp.uni-trier.de/db/conf/mmasia/index.html
会议,计算机图形学与多媒体,C,SMI,Shape Modeling International,IEEE,http://dblp.uni-trier.de/db/conf/smi/
会议,计算机图形学与多媒体,C,ICVRV,International Conference on Virtual Reality and Visualization,IEEE,https://www.computer.org/csdl/proceedings/1800579
会议,计算机图形学与多媒体,C,CVM,Computational Visual Media,Tsinghua University,https://dblp.org/db/conf/cvm/index.html
会议,计算机图形学与多媒体,C,PRCV,Chinese Conference on Pattern Recognition and Computer Vision,Springer,https://dblp.org/db/conf/prcv/index.html
会议,计算机图形学与多媒体,C,ICIG,International Conference on Image and Graphics,Springer,https://dblp.uni-trier.de/db/conf/icig/index.html
会议,计算机图形学与多媒体,C,NCMMSC,National Conference on Man-Machine Speech Communication,CCF/中国中文信息学会,https://dblp.uni-trier.de/search?q=NCMMSC
会议,计算机图形学与多媒体,C,ASRU,Automatic Speech Recognition and Understanding Workshop,IEEE SLTC,https://dblp.uni-trier.de/db/conf/asru/index.html
会议,计算机图形学与多媒体,C,SLT,Spoken Language Technology,IEEE SLTC,https://dblp.uni-trier.de/db/conf/slt/index.html
期刊,人工智能,A,AI,Artificial Intelligence,Elsevier,http://dblp.uni-trier.de/db/conf/mm/
期刊,人工智能,A,TPAMI,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE,http://dblp.uni-trier.de/db/conf/siggraph/index.html
期刊,人工智能,A,IJCV,International Journal of Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/vr/
期刊,人工智能,A,JMLR,Journal of Machine Learning Research,MIT Press,http://dblp.uni-trier.de/db/conf/visualization/index.html
期刊,人工智能,B,TAP,ACM Transactions on Applied Perception,ACM,http://dblp2.uni-trier.de/db/conf/vrst/
期刊,人工智能,B,AAMAS,Autonomous Agents and Multi-Agent Systems,Springer,http://dblp.uni-trier.de/db/conf/ca/
期刊,人工智能,B,CVIU,Computer Vision and Image Understanding,Elsevier,http://dblp.uni-trier.de/db/conf/interspeech/index.html
期刊,人工智能,B,DKE,Data & Knowledge Engineering,Elsevier,http://dblp.uni-trier.de/db/conf/gmp/
期刊,人工智能,B,TAC,IEEE Transactions on Affective Computing,IEEE,https://dblp.uni-trier.de/db/conf/3dim/
期刊,人工智能,B,TASLP,"IEEE/ACM Transactions on Audio, Speech and Language Processing",IEEE,https://dblp.uni-trier.de/db/conf/cadgraphics/
期刊,人工智能,B,TEC,IEEE Transactions on Evolutionary Computation,IEEE,http://dblp.uni-trier.de/db/conf/mmm/index.html
期刊,人工智能,B,TFS,IEEE Transactions on Fuzzy Systems,IEEE,https://dblp.uni-trier.de/db/conf/mmasia/index.html
期刊,人工智能,B,TNNLS,IEEE Transactions on Neural Networks and learning systems,IEEE,http://dblp.uni-trier.de/db/conf/smi/
期刊,人工智能,B,IJAR,International Journal of Approximate Reasoning,Elsevier,https://www.computer.org/csdl/proceedings/1800579
期刊,人工智能,B,JAIR,Journal of Artificial Intelligence Research,AAAI,http://dblp.uni-trier.de/db/journals/tomccap/
期刊,人工智能,B,JSLHR,"Journal of Speech, Language, and Hearing Research",American Speech-Language Hearing Association,http://dblp.uni-trier.de/db/journals/cgf/
期刊,人工智能,B,PR,Pattern Recognition,Elsevier,http://dblp.uni-trier.de/db/journals/tmm/
期刊,人工智能,B,TACL,Transactions of the Association for Computational Linguistics,The Association for Computational Linguistics,http://scitation.aip.org/content/asa/journal/jasa
期刊,人工智能,C,TALLIP,ACM Transactions on Asian and Low-Resource Language Information Processing,ACM,http://dblp.uni-trier.de/db/journals/talip/
期刊,人工智能,C,AIM,Artificial Intelligence in Medicine,Elsevier,http://dblp.uni-trier.de/db/journals/artmed/
期刊,人工智能,C,DSS,Decision Support Systems,Elsevier,http://dblp.uni-trier.de/db/journals/dss/
期刊,人工智能,C,EAAI,Engineering Applications of Artificial,Elsevier,http://dblp.uni-trier.de/db/journals/eaai/
期刊,人工智能,C,ESWA,Expert Systems with Applications,Elsevier,http://dblp.uni-trier.de/db/journals/eswa/
期刊,人工智能,C,TG,IEEE Transactions on Games,IEEE,http://dblp.uni-trier.de/db/journals/tciaig/
期刊,人工智能,C,IET-CVI,IET Computer Vision,IET,https://dblp.org/db/journals/iet-cvi/index.html
期刊,人工智能,C,IVC,Image and Vision Computing,Elsevier,http://dblp.uni-trier.de/db/journals/ivc/
期刊,人工智能,C,IDA,Intelligent Data Analysis,IOS Press,http://dblp.uni-trier.de/db/journals/ida/
期刊,人工智能,C,IJCIA,International Journal of Computational Intelligence and Applications,World Scientific,http://dblp.uni-trier.de/db/journals/ijcia/
期刊,人工智能,C,IJIS,International Journal of Intelligent Systems,Wiley,http://dblp.uni-trier.de/db/journals/ijis/
期刊,人工智能,C,IJNS,International Journal of Neural Systems,World Scientific,http://dblp.uni-trier.de/db/journals/ijns/
期刊,人工智能,C,IJPRAI,International Journal of Pattern Recognition and Artificial Intelligence,World Scientific,http://dblp.uni-trier.de/db/journals/ijprai/
期刊,人工智能,C,IJUFKS,"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems",World Scientific,https://dblp.uni-trier.de/db/journals/ijufks/
期刊,人工智能,C,IJDAR,International Journal on Document Analysis and Recognition,Springer,http://dblp.uni-trier.de/db/journals/ijdar/
期刊,人工智能,C,JETAI,Journal of Experimental and Theoretical Artificial Intelligence,Taylor & Francis,http://dblp.uni-trier.de/db/journals/jetai/
期刊,人工智能,C,KBS,Knowledge-Based Systems,Elsevier,http://dblp.uni-trier.de/db/journals/kbs/
期刊,人工智能,C,NLE,Natural Language Engineering,Cambridge University Press,http://dblp.uni-trier.de/db/journals/nle/
期刊,人工智能,C,NCA,Neural Computing and Applications,Springer,http://dblp.uni-trier.de/db/journals/nca/
期刊,人工智能,C,NPL,Neural Processing Letters,Springer,http://dblp.uni-trier.de/db/journals/npl/
期刊,人工智能,C,PAA,Pattern Analysis and Applications,Springer,http://dblp.uni-trier.de/db/journals/paa/
期刊,人工智能,C,PRL,Pattern Recognition Letters,Elsevier,http://dblp.uni-trier.de/db/journals/prl/
期刊,人工智能,C,WI,Web Intelligence,IOS Press,http://dblp.uni-trier.de/db/journals/wias/
期刊,人工智能,C,TIIS,ACM Transactions on Interactive Intelligent Systems,ACM,https://dblp.org/db/journals/tiis/index.html
期刊,人工智能,C,TELO,ACM Transactions on Evolutionary Learning and Optimization,ACM,https://dblp.uni-trier.de/db/journals/telo/index.html
会议,人工智能,A,AAAI,AAAI Conference on Artificial Intelligence,AAAI,http://dblp.uni-trier.de/db/conf/aaai/
会议,人工智能,A,NeurIPS,Conference on Neural Information Processing Systems,MIT Press,http://dblp.uni-trier.de/db/conf/nips/
会议,人工智能,A,ACL,Annual Meeting of the Association for Computational Linguistics,ACL,http://dblp.uni-trier.de/db/conf/acl/
会议,人工智能,A,CVPR,IEEE/CVF Computer Vision and Pattern Recognition Conference,IEEE,http://dblp.uni-trier.de/db/conf/cvpr/
会议,人工智能,A,ICCV,International Conference on Computer Vision,IEEE,http://dblp.uni-trier.de/db/conf/iccv/
会议,人工智能,A,ICML,International Conference on Machine Learning,ACM,http://dblp.uni-trier.de/db/conf/icml/
会议,人工智能,A,ICLR,International Conference on Learning Representations,OpenReview,https://dblp.uni-trier.de/db/conf/iclr/index.html
会议,人工智能,B,COLT,Annual Conference on Computational Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/colt/
会议,人工智能,B,EMNLP,Conference on Empirical Methods in Natural Language Processing,ACL,http://dblp.uni-trier.de/db/conf/emnlp/
会议,人工智能,B,ECAI,European Conference on Artificial Intelligence,IOS Press,http://dblp.uni-trier.de/db/conf/ecai/
会议,人工智能,B,ECCV,European Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/eccv/
会议,人工智能,B,ICRA,IEEE International Conference on Robotics and Automation,IEEE,http://dblp.uni-trier.de/db/conf/icra/
会议,人工智能,B,ICAPS,International Conference on Automated Planning and Scheduling,AAAI,http://dblp.uni-trier.de/db/conf/aips/
会议,人工智能,B,ICCBR,International Conference on Case-Based Reasoning,Springer,http://dblp.uni-trier.de/db/conf/iccbr/
会议,人工智能,B,COLING,International Conference on Computational Linguistics,International Committee on Computational Linguistics,http://dblp.uni-trier.de/db/conf/coling/
会议,人工智能,B,KR,International Conference on Principles of Knowledge Representation and Reasoning,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/kr/
会议,人工智能,B,UAI,Conference on Uncertainty in Artificial Intelligence,AUAI,http://dblp.uni-trier.de/db/conf/uai/
会议,人工智能,B,AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,Springer,http://dblp.uni-trier.de/db/conf/atal/index.html
会议,人工智能,B,PPSN,Parallel Problem Solving from Nature,Springer,http://dblp.uni-trier.de/db/conf/ppsn/
会议,人工智能,B,NAACL,North American Chapter of the Association for Computational Linguistics,Association for Computational Linguistics,http://dblp.uni-trier.de/db/conf/naacl/
会议,人工智能,B,IJCAI,International Joint Conference on Artificial Intelligence,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/ijcai/
会议,人工智能,C,AISTATS,International Conference on Artificial Intelligence and Statistics,JMLR,http://dblp.uni-trier.de/db/conf/aistats/
会议,人工智能,C,ACCV,Asian Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/accv/
会议,人工智能,C,ACML,Asian Conference on Machine Learning,JMLR,http://dblp.uni-trier.de/db/conf/acml/
会议,人工智能,C,BMVC,British Machine Vision Conference,British Machine Vision Association,http://dblp.uni-trier.de/db/conf/bmvc/
会议,人工智能,C,NLPCC,CCF International Conference on Natural Language Processing and Chinese Computing,Springer,https://dblp.uni-trier.de/db/conf/nlpcc/
会议,人工智能,C,CoNLL,Conference on Computational Natural Language Learning,Association for Computational Linguistics,http://dblp.uni-trier.de/db/conf/conll
会议,人工智能,C,GECCO,Genetic and Evolutionary Computation Conference,ACM,http://dblp.uni-trier.de/db/conf/gecco/
会议,人工智能,C,ICTAI,IEEE International Conference on Tools with Artificial Intelligence,IEEE,http://dblp.uni-trier.de/db/conf/ictai/
会议,人工智能,C,IROS,IEEE\RSJ International Conference on Intelligent Robots and Systems,IEEE,http://dblp.uni-trier.de/db/conf/iros/
会议,人工智能,C,ALT,International Conference on Algorithmic Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/alt/
会议,人工智能,C,ICANN,International Conference on Artificial Neural Networks,Springer,http://dblp.uni-trier.de/db/conf/icann/
会议,人工智能,C,FG,IEEE International Conference on Automatic Face and Gesture Recognition,IEEE,http://dblp.uni-trier.de/db/conf/fgr/
会议,人工智能,C,ICDAR,International Conference on Document Analysis and Recognition,IEEE,http://dblp.uni-trier.de/db/conf/icdar/
会议,人工智能,C,ILP,International Conference on Inductive Logic Programming,Springer,http://dblp.uni-trier.de/db/conf/ilp/
会议,人工智能,C,KSEM,"International conference on Knowledge Science, Engineering and Management",Springer,http://dblp.uni-trier.de/db/conf/ksem/
会议,人工智能,C,ICONIP,International Conference on Neural Information Processing,Springer,http://dblp.uni-trier.de/db/conf/iconip/
会议,人工智能,C,ICPR,International Conference on Pattern Recognition,IEEE,http://dblp.uni-trier.de/db/conf/icpr/
会议,人工智能,C,IJCB,International Joint Conference on Biometrics,IEEE,http://dblp.uni-trier.de/db/conf/icb/
会议,人工智能,C,IJCNN,International Joint Conference on Neural Networks,IEEE,http://dblp.uni-trier.de/db/conf/ijcnn/
会议,人工智能,C,PRICAI,Pacific Rim International Conference on Artificial Intelligence,Springer,http://dblp.uni-trier.de/db/conf/pricai/
会议,人工智能,C,IEEE CEC,Congress on Evolutionary Computation,IEEE,https://dblp.uni-trier.de/db/conf/cec/index.html
会议,人工智能,C,DAI,International Conference on Distributed Artificial Intelligence,ACM/Springer,https://dblp.uni-trier.de/db/conf/dai2/index.html
期刊,人机交互与普适计算,A,TOCHI,ACM Transactions on Computer-Human Interaction,ACM,http://dblp.uni-trier.de/db/journals/tochi/
期刊,人机交互与普适计算,A,IJHCS,International Journal of Human-Computer Studies,Elsevier,http://dblp.uni-trier.de/db/journals/ijmms/
期刊,人机交互与普适计算,B,CSCW,Computer Supported Cooperative Work,Springer,http://dblp.uni-trier.de/db/journals/cscw/
期刊,人机交互与普适计算,B,HCI,Human-Computer Interaction,Taylor & Francis,http://dblp.uni-trier.de/db/journals/hhci/
期刊,人机交互与普适计算,B,IWC,Interacting with Computers,Oxford University Press,http://dblp.uni-trier.de/db/journals/iwc/
期刊,人机交互与普适计算,B,IJHCI,International Journal of Human-Computer Interaction,Taylor & Francis,http://dblp.uni-trier.de/db/journals/ijhci/
期刊,人机交互与普适计算,B,UMUAI,User Modeling and User-Adapted Interaction,Springer,http://dblp.uni-trier.de/db/journals/umuai/
期刊,人机交互与普适计算,B,TSMC,"IEEE Transactions on Systems, Man,and Cybernetics: Systems",IEEE,https://dblp.org/db/journals/tsmc/tsmc12.html
期刊,人机交互与普适计算,B,CCF TPCI,CCF Transactions on Pervasive Computing and Interaction,CCF/Springer,https://dblp.uni-trier.de/db/journals/ccftpci/index.html
期刊,人机交互与普适计算,C,BIT,Behaviour & Information Technology,Taylor & Francis,http://dblp.uni-trier.de/db/journals/behaviourIT/
期刊,人机交互与普适计算,C,PUC,Personal and Ubiquitous Computing,Springer,http://dblp.uni-trier.de/db/journals/puc/
期刊,人机交互与普适计算,C,PMC,Pervasive and Mobile Computing,Elsevier,http://dblp.uni-trier.de/db/journals/percom/
期刊,人机交互与普适计算,C,PACMHCI,Proceedings of the ACM on Human-Computer Interaction,ACM,https://dblp.org/db/journals/pacmhci/index.html
期刊,人机交互与普适计算,C,THRI,ACM Transactions on Human-Robot Interaction,ACM,https://dblp.uni-trier.de/db/journals/thri/index.html
会议,人机交互与普适计算,A,CSCW,ACM Conference On Computer-Supported Cooperative Work And Social Computing,ACM,http://dblp.uni-trier.de/db/conf/cscw
会议,人机交互与普适计算,A,CHI,ACM Conference on Human Factors in Computing Systems,ACM,http://dblp.uni-trier.de/db/conf/chi
会议,人机交互与普适计算,A,UbiComp,ACM international joint conference on Pervasive and Ubiquitous Computing,ACM,https://dblp.uni-trier.de/db/conf/huc/
会议,人机交互与普适计算,A,UIST,ACM Symposium on User Interface Software and Technology,ACM,http://dblp.uni-trier.de/db/conf/uist/
会议,人机交互与普适计算,B,GROUP,ACM International Conference on Supporting Group Work,ACM,http://dblp.uni-trier.de/db/conf/group/
会议,人机交互与普适计算,B,IUI,ACM International Conference on Intelligent User Interfaces,ACM,http://dblp.uni-trier.de/db/conf/iui/
会议,人机交互与普适计算,B,ISS,ACM International Conference on Interactive Surfaces and Spaces,ACM,http://dblp.uni-trier.de/db/conf/tabletop/
会议,人机交互与普适计算,B,ECSCW,European Conference on Computer Supported Cooperative Work,Springer,http://dblp.uni-trier.de/db/conf/ecscw/
会议,人机交互与普适计算,B,PERCOM,IEEE International Conference on Pervasive Computing and Communications,IEEE,http://dblp.uni-trier.de/db/conf/percom/
会议,人机交互与普适计算,B,MobileHCI,ACM International Conference on Mobile Human-Computer Interaction,ACM,http://dblp.uni-trier.de/db/conf/mhci/
会议,人机交互与普适计算,B,ICWSM,The International AAAI Conference on Web and Social Media,AAAI,https://dblp.org/db/conf/icwsm/index.html
会议,人机交互与普适计算,C,DIS,ACM SIGCHI Conference on Designing Interactive Systems,ACM,http://dblp.uni-trier.de/db/conf/ACMdis
会议,人机交互与普适计算,C,ICMI,ACM International Conference on Multimodal Interaction,ACM,http://dblp.uni-trier.de/db/conf/icmi/
会议,人机交互与普适计算,C,ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,ACM,http://dblp.uni-trier.de/db/conf/assets
会议,人机交互与普适计算,C,GI,Graphics Interface,ACM,http://dblp.uni-trier.de/db/conf/graphicsinterface/
会议,人机交互与普适计算,C,UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,IEEE,http://dblp.uni-trier.de/db/conf/uic/
会议,人机交互与普适计算,C,INTERACT,International Conference on Human- Computer Interaction of International Federation for Information Processing,IFIP,http://dblp.uni-trier.de/db/conf/interact/
会议,人机交互与普适计算,C,IDC,ACM Interaction Design and Children,ACM,http://dblp.uni-trier.de/db/conf/acmidc/
会议,人机交互与普适计算,C,CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",Springer,https://dblp.uni-trier.de/db/conf/colcom/
会议,人机交互与普适计算,C,CSCWD,International Conference on Computer Supported Cooperative Work in Design,Springer,http://dblp.uni-trier.de/db/conf/cscwd/
会议,人机交互与普适计算,C,CoopIS,International Conference on Cooperative Information Systems,Springer,http://dblp.uni-trier.de/db/conf/coopis/
会议,人机交互与普适计算,C,MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",Springer,http://dblp.uni-trier.de/db/conf/mobiquitous/
会议,人机交互与普适计算,C,AVI,International Working Conference on Advanced Visual Interfaces,ACM,http://dblp.uni-trier.de/db/conf/avi/
会议,人机交互与普适计算,C,GPC,"Conference on Green, Pervasive and Cloud Computing",Springer,https://dblp.uni-trier.de/db/conf/gpc/index.html
会议,人机交互与普适计算,C,ICXR,CCF International Conference on Extended Reality,Springer,https://dblp.uni-trier.de/db/conf/icxr/index.html
期刊,交叉/综合/新兴,A,JACM,Journal of the ACM,ACM,http://dblp.uni-trier.de/db/journals/jacm/
期刊,交叉/综合/新兴,A,Proc. IEEE,Proceedings of the IEEE,IEEE,http://dblp.uni-trier.de/db/journals/pieee/
期刊,交叉/综合/新兴,A,SCIS,Science China Information Sciences,Science in China Press/Springer,http://dblp.uni-trier.de/db/journals/chinaf/
期刊,交叉/综合/新兴,A,Bioinformatics,Bioinformatics,Oxford University Press,http://dblp.uni-trier.de/db/journals/bioinformatics/
期刊,交叉/综合/新兴,B,Cognition,Cognition,Elsevier,http://www.journals.elsevier.com/cognition/
期刊,交叉/综合/新兴,B,TASAE,IEEE Transactions on Automation Science and Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tase/
期刊,交叉/综合/新兴,B,TGARS,IEEE Transactions on Geoscience and Remote Sensing,IEEE,http://dblp.uni-trier.de/db/journals/tgrs/
期刊,交叉/综合/新兴,B,TITS,IEEE Transactions on Intelligent Transportation Systems,IEEE,http://dblp.uni-trier.de/db/journals/tits/
期刊,交叉/综合/新兴,B,TMI,IEEE Transactions on Medical Imaging,IEEE,http://dblp.uni-trier.de/db/journals/tmi/
期刊,交叉/综合/新兴,B,TR,IEEE Transactions on Robotics,IEEE,http://dblp.uni-trier.de/db/journals/trob/
期刊,交叉/综合/新兴,B,TCBB,IEEE/ACM Transactions on Computational Biology and Bioinformatics,IEEE/ACM,http://dblp.uni-trier.de/db/journals/tcbb/
期刊,交叉/综合/新兴,B,JCST,Journal of Computer Science and Technology,SCIENCE PRESS/Springer,http://dblp.uni-trier.de/db/journals/jcst/
期刊,交叉/综合/新兴,B,JAMIA,Journal of the American Medical Informatics Association,BMJ Journals,http://dblp.uni-trier.de/db/journals/jamia/
期刊,交叉/综合/新兴,B,WWW,World Wide Web,Springer,https://dblp.org/db/journals/www/index.html
期刊,交叉/综合/新兴,B,FCS,Frontiers of Computer Science,Higher Education Press,http://dblp.uni-trier.de/db/journals/fcsc/
期刊,交叉/综合/新兴,B,BCRA,Blockchain: Research and Applications,浙江大学出版社 /Elsevier,https://dblp.uni-trier.de/search?q=BCRA
期刊,交叉/综合/新兴,C,JBHI,IEEE Journal of Biomedical and Health Informatics,IEEE,http://dblp.uni-trier.de/db/journals/titb/
