类型,大类,等级,期刊简称,期刊全称,出版社,网址
会议,计算机体系结构/并行与分布计算/存储系统,B,IPDPS,IEEE International Parallel & Distributed Processing Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ipps/
会议,计算机体系结构/并行与分布计算/存储系统,B,Performance,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",ACM,http://dblp.uni-trier.de/db/conf/performance/
会议,计算机体系结构/并行与分布计算/存储系统,B,ITC,International Test Conference,IEEE,http://dblp.uni-trier.de/db/conf/itc/
会议,计算机体系结构/并行与分布计算/存储系统,B,LISA,Large Installation System Administration Conference,USENIX,http://dblp.uni-trier.de/db/conf/lisa/
会议,计算机体系结构/并行与分布计算/存储系统,B,MSST,Mass Storage Systems and Technologies,IEEE,http://dblp.uni-trier.de/db/conf/mss/
会议,计算机体系结构/并行与分布计算/存储系统,B,RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,IEEE,http://dblp.uni-trier.de/db/conf/rtas/
会议,计算机体系结构/并行与分布计算/存储系统,B,Euro-Par,European Conference on Parallel and Distributed Computing Springer,Springer,http://dblp.uni-trier.de/db/conf/europar/
会议,计算机体系结构/并行与分布计算/存储系统,B,ISCAS,IEEE International Symposium on Circuits and Systems,IEEE,http://dblp.uni-trier.de/db/conf/hpdc/
会议,计算机体系结构/并行与分布计算/存储系统,C,CF,ACM International Conference on Computing Frontiers,ACM,http://dblp.uni-trier.de/db/conf/cf
会议,计算机体系结构/并行与分布计算/存储系统,C,SYSTOR,ACM International Systems and Storage Conference,ACM,http://dblp.uni-trier.de/db/conf/systor/index.html
会议,计算机体系结构/并行与分布计算/存储系统,C,NOCS,ACM/IEEE International Symposium on Networks-on-Chip,IEEE/ACM,http://dblp.uni-trier.de/db/conf/nocs
会议,计算机体系结构/并行与分布计算/存储系统,C,ASAP,"IEEE International Conference on Application-Specific Systems, Architectures, and Processors",IEEE,http://dblp.uni-trier.de/db/conf/asap
会议,计算机体系结构/并行与分布计算/存储系统,C,ASP-DAC,Asia and South Pacific Design Automation Conference,IEEE/ACM,http://dblp.uni-trier.de/db/conf/aspdac
会议,计算机体系结构/并行与分布计算/存储系统,C,ETS,IEEE European Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ets/
会议,计算机体系结构/并行与分布计算/存储系统,C,FPL,International Conference on Field-Programmable Logic and Applications,IEEE,http://dblp.uni-trier.de/db/conf/fpl/
会议,计算机体系结构/并行与分布计算/存储系统,C,FCCM,IEEE Symposium on Field-Programmable Custom Computing Machines,IEEE,http://dblp.uni-trier.de/db/conf/fccm/
会议,计算机体系结构/并行与分布计算/存储系统,C,GLSVLSI,Great Lakes Symposium on VLSI,IEEE/ACM,http://dblp.uni-trier.de/db/conf/glvlsi/
会议,计算机体系结构/并行与分布计算/存储系统,C,ATS,IEEE Asian Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ats/
会议,计算机体系结构/并行与分布计算/存储系统,C,HPCC,IEEE International Conference on High Performance Computing and Communications,IEEE,http://dblp.uni-trier.de/db/conf/hpcc/
会议,计算机体系结构/并行与分布计算/存储系统,C,HiPC,"IEEE International Conference on High Performance Computing, Data and Analytics",IEEE/ACM,http://dblp.uni-trier.de/db/conf/hipc/index.html
会议,计算机体系结构/并行与分布计算/存储系统,C,MASCOTS,"International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",IEEE,http://dblp.uni-trier.de/db/conf/mascots/
会议,计算机体系结构/并行与分布计算/存储系统,C,ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications,IEEE,http://dblp.uni-trier.de/db/conf/sigmetrics/
会议,计算机体系结构/并行与分布计算/存储系统,C,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",IEEE/ACM,http://dblp.uni-trier.de/db/conf/IEEEpact/
会议,计算机体系结构/并行与分布计算/存储系统,C,NPC,IFIP International Conference on Network and Parallel Computing,Springer,http://dblp.uni-trier.de/db/conf/icpp/
会议,计算机体系结构/并行与分布计算/存储系统,C,ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,IEEE,http://dblp.uni-trier.de/db/conf/ics/
会议,计算机体系结构/并行与分布计算/存储系统,C,CASES,"International Conference on Compilers, Architectures, and Synthesis for Embedded Systems",ACM,http://dblp.uni-trier.de/db/conf/vee/
会议,计算机体系结构/并行与分布计算/存储系统,C,FPT,International Conference on Field-Programmable Technology,IEEE,http://dblp.uni-trier.de/db/conf/ipps/
会议,计算机体系结构/并行与分布计算/存储系统,C,ICPADS,International Conference on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/conf/performance/
会议,计算机体系结构/并行与分布计算/存储系统,C,ISLPED,International Symposium on Low Power Electronics and Design,IEEE/ACM,http://dblp.uni-trier.de/db/conf/itc/
会议,计算机体系结构/并行与分布计算/存储系统,C,ISPD,International Symposium on Physical Design,ACM,http://dblp.uni-trier.de/db/conf/lisa/
会议,计算机体系结构/并行与分布计算/存储系统,C,HOTI,IEEE Symposium on High-Performance Interconnects,IEEE,http://dblp.uni-trier.de/db/conf/mss/
会议,计算机体系结构/并行与分布计算/存储系统,C,VTS,IEEE VLSI Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/rtas/
会议,计算机体系结构/并行与分布计算/存储系统,C,ITC-Asia,International Test Conference in Asia,IEEE,http://dblp.uni-trier.de/db/conf/europar/
会议,计算机体系结构/并行与分布计算/存储系统,C,SEC,ACM/IEEE Symposium on Edge Computing,IEEE/ACM,https://dblp.uni-trier.de/db/conf/ieeesec/index.html
会议,计算机体系结构/并行与分布计算/存储系统,C,NAS,"International Conference on Networking, Architecture and Storages",IEEE,https://dblp.uni-trier.de/db/conf/nas/index.html
会议,计算机体系结构/并行与分布计算/存储系统,C,HotStorage,HotStorage,USENIX Association,https://dblp.uni-trier.de/db/conf/hotstorage/index.html
会议,计算机体系结构/并行与分布计算/存储系统,C,APPT,International Symposium on Advanced Parallel Processing Technology,Springer,https://dblp.uni-trier.de/db/conf/appt/index.html
期刊,计算机网络,A,JSAC,IEEE Journal on Selected Areas in Communications,IEEE,http://dblp.uni-trier.de/db/journals/jsac/
期刊,计算机网络,A,TMC,IEEE Transactions on Mobile Computing,IEEE,http://dblp.uni-trier.de/db/journals/tmc/
期刊,计算机网络,A,TON,IEEE/ACM Transactions on Networking,IEEE/ACM,http://dblp.uni-trier.de/db/journals/ton/
期刊,计算机网络,B,TOIT,ACM Transactions on Internet Technology,ACM,http://dblp.uni-trier.de/db/journals/toit/
期刊,计算机网络,B,TOMM,"ACM Transactions on Multimedia Computing, Communications and Applications",ACM,http://dblp.uni-trier.de/db/journals/tomccap/
期刊,计算机网络,B,TOSN,ACM Transactions on Sensor Networks,ACM,http://dblp.uni-trier.de/db/journals/tosn/
期刊,计算机网络,B,CN,Computer Networks,Elsevier,http://dblp.uni-trier.de/db/journals/cn/
期刊,计算机网络,B,TCOM,IEEE Transactions on Communications,IEEE,http://dblp.uni-trier.de/db/journals/tcom/
期刊,计算机网络,B,TWC,IEEE Transactions on Wireless Communications,IEEE,http://dblp.uni-trier.de/db/journals/twc/
期刊,计算机网络,C,CC,Computer Communications,Elsevier,http://dblp.uni-trier.de/db/journals/comcom/
期刊,计算机网络,C,TNSM,IEEE Transactions on Network and Service Management,IEEE,http://dblp.uni-trier.de/db/journals/tnsm/
期刊,计算机网络,C,JNCA,Journal of Network and Computer Applications,Elsevier,http://dblp.uni-trier.de/db/journals/jnca/
期刊,计算机网络,C,MONET,Mobile Networks and Applications,Springer,http://dblp.uni-trier.de/db/journals/monet/
期刊,计算机网络,C,PPNA,Peer-to-Peer Networking and Applications,Springer,http://dblp.uni-trier.de/db/journals/ppna/
期刊,计算机网络,C,WCMC,Wireless Communications and Mobile Computing,Wiley,http://dblp.uni-trier.de/db/journals/wicomm/
期刊,计算机网络,C,IOT,IEEE Internet of Things Journal,IEEE,https://dblp.org/db/journals/iotj/index.html
期刊,计算机网络,C,TIOT,ACM Transactions on Internet of Things,ACM,https://dblp.uni-trier.de/db/journals/tiot/index.html
会议,计算机网络,A,SIGCOMM,"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",ACM,http://dblp.uni-trier.de/db/conf/sigcomm/index.html
会议,计算机网络,A,MobiCom,ACM International Conference on Mobile Computing and Networking,ACM,http://dblp.uni-trier.de/db/conf/mobicom/
会议,计算机网络,A,INFOCOM,IEEE International Conference on Computer Communications,IEEE,http://dblp.uni-trier.de/db/conf/infocom/
会议,计算机网络,A,NSDI,Symposium on Network System Design and Implementation,USENIX,http://dblp.uni-trier.de/db/conf/nsdi/
会议,计算机网络,B,SenSys,ACM Conference on Embedded Networked Sensor Systems,ACM,http://dblp.uni-trier.de/db/conf/sensys/
会议,计算机网络,B,CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,ACM,http://dblp.uni-trier.de/db/conf/conext/
会议,计算机网络,B,SECON,"IEEE International Conference on Sensing, Communication, and Networking",IEEE,http://dblp.uni-trier.de/db/conf/secon/
会议,计算机网络,B,IPSN,International Conference on Information Processing in Sensor Networks,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ipsn/
